China,1
will,2
adopt,3
a,4
package,5
of,6
measures,7
to,8
stabilize,9
economic,10
performance,11
in,12
an,13
effort,14
get,15
the,16
economy,17
back,18
normal,19
track,20
and,21
keep,22
major,23
indicators,24
within,25
appropriate,26
range,27
State,28
Council,29
decided,30
at,31
recent,32
executive,33
meeting,34
chaired,35
by,36
Premier,37
Li,38
Keqiang,39
Noting,40
increasing,41
downward,42
pressure,43
on,44
serious,45
difficulties,46
facing,47
many,48
market,49
entities,50
stressed,51
need,52
stay,53
confident,54
respond,55
resolutely,56
fully,57
apply,58
new,59
development,60
philosophy,61
coordinate,62
COVID,63
response,64
with,65
social,66
high,67
efficiency,68
Power,69
generation,70
freight,71
volume,72
bank,73
loans,74
have,75
all,76
declined,77
since,78
April,79
Without,80
certain,81
level,82
GDP,83
growth,84
stable,85
employment,86
cannot,87
be,88
realized,89
One,90
good,91
thing,92
is,93
that,94
we,95
refrained,96
from,97
excessive,98
money,99
supply,100
mass,101
stimulus,102
past,103
few,104
years,105
still,106
policy,107
tools,108
reserve,109
said,110
The,111
implement,112
33,113
six,114
aspects,115
which,116
mainly,117
include,118
fiscal,119
related,120
policies,121
operation,122
refunding,123
outstanding,124
newly,125
added,126
value,127
tax,128
credits,129
extended,130
more,131
industries,132
expected,133
increase,134
refunds,135
than,136
140,137
billion,138
yuan,139
$21,140
bring,141
total,142
amount,143
relief,144
this,145
year,146
264,147
trillion,148
deferred,149
premium,150
payments,151
old-age,152
unemployment,153
workplace,154
safety,155
insurance,156
programs,157
micro,158
small,159
medium-sized,160
enterprises,161
self-employed,162
households,163
companies,164
catering,165
retail,166
tourism,167
civil,168
aviation,169
highway,170
waterway,171
railway,172
transportation,173
sectors,174
prolonged,175
until,176
end,177
other,178
As,179
result,180
reach,181
320,182
subsidy,183
for,184
retaining,185
employees,186
under,187
hard-hit,188
participating,189
plan,190
re-guarantee,191
business,192
national,193
financing,194
guarantee,195
fund,196
increased,197
1,198
Energy,199
security,200
ensured,201
approving,202
production,203
capacity,204
coal,205
mines,206
recalibrated,207
procedures,208
designating,209
especially,210
important,211
energy,212
accelerated,213
A,214
number,215
hydropower,216
coal-fired,217
power,218
projects,219
start,220
string,221
financial,222
scale,223
support,224
facility,225
inclusive,226
businesses,227
doubled,228
Banks,229
supported,230
deferring,231
principal,232
interest,233
repayments,234
made,235
as,236
well,237
truck,238
home,239
consumer,240
borne,241
individuals,242
temporary,243
For,244
basis,245
key,246
resolving,247
problems,248
We,249
must,250
efficiently,251
better,252
use,253
experience,254
gained,255
two,256
Policy,257
beefed,258
up,259
should,260
swiftly,261
rolled,262
out,263
wherever,264
needed,265
ensure,266
overall,267
adopted,268
industrial,269
chains,270
enable,271
early,272
reopening,273
their,274
full-capacity,275
fine-tuned,276
imperative,277
people's,278
basic,279
livelihoods,280
Support,281
provided,282
people,283
eligible,284
benefits,285
subsistence,286
allowances,287
mechanism,288
raising,289
pace,290
price,291
promptly,292
activated,293
situation,294
require,295
Restrictions,296
passage,297
trucks,298
low-COVID-risk,299
areas,300
lifted,301
undue,302
limits,303
arbitrary,304
charges,305
scrapped,306
Domestic,307
international,308
passenger,309
flights,310
well-paced,311
manner,312
Consumer,313
spending,314
effective,315
investment,316
boosted,317
car,318
purchase,319
restrictions,320
relaxed,321
There,322
phased,323
reduction,324
totaling,325
60,326
some,327
vehicles,328
City-specific,329
meet,330
housing,331
needs,332
wish,333
improve,334
conditions,335
infrastructure,336
launched,337
including,338
water,339
conservancy,340
facilities,341
large-scale,342
irrigation,343
renovation,344
old,345
residential,346
communities,347
multipurpose,348
utility,349
tunnels,350
encouraged,351
provide,352
long-term,353
sizable,354
BEIJING,355
21,356
Xinhua,357
--,358
Chinese,359
has,360
signed,361
decree,362
unveiling,363
revised,364
rule,365
management,366
place,367
names,368
44,369
items,370
seven,371
chapters,372
aims,373
further,374
regulation,375
places,376
statement,377
requires,378
strict,379
over,380
naming,381
renaming,382
localities,383
sites,384
meantime,385
demands,386
efforts,387
cultural,388
protection,389
regard,390
It,391
come,392
into,393
effect,394
May,395
Sept,396
2021,397
25,398
Monday,399
called,400
combat,401
corruption,402
build,403
clean,404
honest,405
government,406
also,407
member,408
Standing,409
Committee,410
Political,411
Bureau,412
Communist,413
Party,414
CPC,415
Central,416
remarks,417
governance,418
Zhao,419
Leji,420
secretary,421
Commission,422
Discipline,423
Inspection,424
Vice,425
Han,426
Zheng,427
both,428
members,429
attended,430
advancing,431
responsibility,432
governments,433
levels,434
essential,435
requirement,436
improving,437
conduct,438
building,439
China's,440
due,441
impact,442
greater-than-expected,443
changes,444
domestic,445
situations,446
deserves,447
great,448
attention,449
he,450
initiatives,451
already,452
been,453
formulated,454
largely,455
implemented,456
first,457
half,458
so,459
jobs,460
prices,461
supplies,462
fundamentals,463
Governments,464
are,465
urged,466
shoulder,467
responsibilities,468
safeguard,469
food,470
according,471
premier,472
create,473
market-oriented,474
law-based,475
internationalized,476
environment,477
noting,478
fee,479
fair,480
equitable,481
efficient,482
Moreover,483
greater,484
oppose,485
pointless,486
formalities,487
bureaucratism,488
hedonism,489
extravagance,490
particular,491
focus,492
payrolls,493
boost,494
job,495
creation,496
bid,497
steady,498
decision,499
Wednesday,500
Now,501
importance,502
stabilizing,503
round,504
flare-ups,505
hit,506
quite,507
hard,508
More,509
forceful,510
taken,511
resumption,512
sound,513
COVID-19,514
control,515
particularly,516
logistics,517
those,518
Point-to-point,519
assistance,520
massive,521
Policies,522
temporarily,523
defer,524
workers',525
compensation,526
expanded,527
or,528
MSMEs,529
COVID-related,530
operations,531
proportion,532
premiums,533
make,534
no,535
minimal,536
cuts,537
staff,538
numbers,539
90,540
percent,541
Localities,542
implementing,543
discounts,544
electricity,545
consumption,546
special,547
difficulty,548
In,549
addition,550
broadband,551
dedicated,552
internet,553
services,554
concessional,555
rates,556
healthy,557
platform,558
advanced,559
At,560
same,561
time,562
do,563
whatever,564
possible,565
groups,566
such,567
college,568
graduates,569
group,570
fields,571
farmland,572
rural,573
roads,574
public,575
works,576
opportunities,577
migrant,578
workers,579
repayment,580
student,581
exemption,582
explored,583
heard,584
reports,585
work,586
ensuring,587
smooth,588
it,589
unclog,590
bottlenecks,591
maintain,592
This,593
crucial,594
sustaining,595
well-being,596
take,597
our,598
agenda,599
required,600
running,601
traffic,602
arteries,603
Toll,604
stations,605
service,606
along,607
expressways,608
open,609
greatest,610
extent,611
Platform,612
delivery,613
scaling,614
outlets,615
shut,616
down,617
express,618
points,619
can,620
resume,621
personnel,622
return,623
orderly,624
Value-added,625
exempted,626
revenues,627
generated,628
100,629
$152,630
relending,631
quota,632
put,633
quickly,634
warehousing,635
issue,636
travel,637
permits,638
necessary,639
Quick,640
application,641
issuance,642
inter-regional,643
recognition,644
nationwide,645
Free,646
tests,647
drivers,648
during,649
20,650
agricultural,651
spring,652
bumper,653
harvest,654
farm,655
produce,656
Chairing,657
noted,658
strictly,659
fulfill,660
coordinating,661
epidemic,662
Meanwhile,663
green,664
channels,665
opened,666
fresh,667
like,668
vegetables,669
while,670
funds,671
assisting,672
grain,673
delivered,674
farmers,675
On,676
give,677
full,678
play,679
main,680
source,681
step,682
additional,683
300,684
million,685
tonnes,686
country,687
promote,688
strengthen,689
construction,690
storage,691
low-carbon,692
transformation,693
plants,694
developing,695
nuclear,696
premise,697
exercising,698
oversight,699
approval,700
was,701
granted,702
three,703
products,704
Council's,705
Executive,706
Meeting,707
pointed,708
stability,709
underpinnings,710
keeping,711
grains,712
serve,713
anchor,714
given,715
growing,716
uncertainties,717
inflation,718
countries,719
pay,720
now,721
farming,722
schedule,723
enjoys,724
sufficient,725
provision,726
sowing,727
steadily,728
Food,729
guaranteed,730
All,731
coordinated,732
progress,733
part,734
assessment,735
According,736
task,737
forces,738
set,739
marketing,740
full-year,741
targets,742
acreage,743
output,744
broken,745
carry,746
optimum,747
leave,748
uncultivated,749
Those,750
who,751
fail,752
complete,753
assigned,754
tasks,755
held,756
accountable,757
primary,758
role,759
types,760
agribusiness,761
brought,762
third-party,763
cultivation,764
help,765
household,766
affected,767
land,768
Concrete,769
plowing,770
activities,771
Well-calibrated,772
steps,773
organize,774
guide,775
To,776
done,777
facilitate,778
availability,779
machinery,780
technicians,781
accessible,782
lane,783
circulation,784
benefit,785
effectively,786
Funds,787
Measures,788
subsidies,789
procurement,790
conducted,791
timely,792
grain-growers,793
motivated,794
identified,795
continue,796
optimize,797
mix,798
expand,799
enhance,800
driving,801
fundamental,802
underpinning,803
address,804
challenges,805
external,806
based,807
own,808
well-defined,809
priorities,810
